٠
١
٢
٣
ع
٤
٥
٦
٧
ح
٨
٩
ا
ب
ه
چ
د
ف
گ
خ
‌ء
هـ
ج
ک
ل
ڵ
م
ن
ۆ
پ
ق
ر
س
ش
ت
ڤ
و
وو
خ
یی
ی
ز
ژ
